team,seed,wins,finish_label,notes
GONZ,1,0,First Round,
Gonzaga,1,5,Runner-up,
Kansas,1,3,Elite Eight,
North Carolina,1,5,Runner-up,
UNC,1,1,Round of 32,
Villanova,1,1,Round of 32,
Arizona,2,2,Sweet 16,
Duke,2,1,Round of 32,
Kentucky,2,3,Elite Eight,
Louisville,2,1,Round of 32,
Baylor,3,2,Sweet 16,
Florida St,3,1,Round of 32,
Oregon,3,4,Final Four,
UCLA,3,2,Sweet 16,
Butler,4,2,Sweet 16,
Florida,4,3,Elite Eight,
Purdue,4,2,Sweet 16,
West Virginia,4,2,Sweet 16,
Iowa State,5,1,Round of 32,
Minnesota,5,0,First Round,
Notre Dame,5,1,Round of 32,
Virginia,5,1,Round of 32,
Cincinnati,6,1,Round of 32,
Creighton,6,0,First Round,
Maryland,6,0,First Round,
SMU,6,0,First Round,
Dayton,7,0,First Round,
Michigan,7,2,Sweet 16,
Saint Mary's,7,1,Round of 32,
South Carolina,7,4,Final Four,
Arkansas,8,1,Round of 32,
Miami,8,0,First Round,
Northwestern,8,1,Round of 32,
Wisconsin,8,2,Sweet 16,
Michigan St,9,1,Round of 32,
Seton Hall,9,0,First Round,
Vanderbilt,9,0,First Round,
Virginia Tech,9,0,First Round,
Marquette,10,0,First Round,
Oklahoma St,10,0,First Round,
VCU,10,0,First Round,
Wichita St,10,1,Round of 32,
Kansas St,11,0,First Round,
Providence,11,0,First Round,
Rhode Island,11,1,Round of 32,
USC,11,1,Round of 32,
Wake Forest,11,0,First Round,
Xavier,11,3,Elite Eight,
MTSU,12,1,Round of 32,
Nevada,12,0,First Round,
Princeton,12,0,First Round,
UNC Wilmington,12,0,First Round,
Bucknell,13,0,First Round,
ETSU,13,0,First Round,
Vermont,13,0,First Round,
Winthrop,13,0,First Round,
FGCU,14,0,First Round,
Iona,14,0,First Round,
Kent State,14,0,First Round,
New Mexico St,14,0,First Round,
Jax State,15,0,First Round,
N Kentucky,15,0,First Round,
North Dakota,15,0,First Round,
Troy,15,0,First Round,
Mount St Marys,16,0,First Round,
NC Central,16,0,First Round,
New Orleans,16,0,First Round,
S Dakota St,16,0,First Round,
Texas Southern,16,0,First Round,
UC Davis,16,0,First Round,
