team,seed,wins,finish_label,notes
Arizona,1,2,Sweet 16,
Baylor,1,1,Round of 32,
Gonzaga,1,2,Sweet 16,
KU,1,1,Round of 32,
Kansas,1,5,Runner-up,
Auburn,2,1,Round of 32,
Duke,2,4,Final Four,
Kentucky,2,0,First Round,
Villanova,2,4,Final Four,
Purdue,3,2,Sweet 16,
Tennessee,3,1,Round of 32,
Texas Tech,3,2,Sweet 16,
Wisconsin,3,1,Round of 32,
Arkansas,4,3,Elite Eight,
Illinois,4,1,Round of 32,
Providence,4,2,Sweet 16,
UCLA,4,2,Sweet 16,
Houston,5,3,Elite Eight,
Iowa,5,0,First Round,
Saint Mary's,5,1,Round of 32,
UConn,5,0,First Round,
Alabama,6,0,First Round,
Colorado St,6,0,First Round,
LSU,6,0,First Round,
Texas,6,1,Round of 32,
Michigan St,7,1,Round of 32,
Murray St,7,1,Round of 32,
Ohio State,7,1,Round of 32,
USC,7,0,First Round,
Boise St,8,0,First Round,
North Carolina,8,5,Runner-up,
San Diego St,8,0,First Round,
Seton Hall,8,0,First Round,
UNC,8,0,First Round,
Creighton,9,1,Round of 32,
Marquette,9,0,First Round,
Memphis,9,1,Round of 32,
TCU,9,1,Round of 32,
Davidson,10,0,First Round,
Loyola Chicago,10,0,First Round,
Miami,10,3,Elite Eight,
San Francisco,10,0,First Round,
Iowa State,11,2,Sweet 16,
Michigan,11,2,Sweet 16,
Notre Dame,11,1,Round of 32,
Rutgers,11,0,First Round,
Virginia Tech,11,0,First Round,
Indiana,12,0,First Round,
New Mexico St,12,1,Round of 32,
Richmond,12,1,Round of 32,
UAB,12,0,First Round,
Wyoming,12,0,First Round,
Akron,13,0,First Round,
Chattanooga,13,0,First Round,
S Dakota St,13,0,First Round,
Vermont,13,0,First Round,
Colgate,14,0,First Round,
Longwood,14,0,First Round,
Montana St,14,0,First Round,
Yale,14,0,First Round,
Delaware,15,0,First Round,
Fullerton,15,0,First Round,
Jax State,15,0,First Round,
Saint Peter's,15,3,Elite Eight,
Bryant,16,0,First Round,
Georgia St,16,0,First Round,
Norfolk St,16,0,First Round,
Texas A&M-CC,16,0,First Round,
Texas Southern,16,0,First Round,
Wright St,16,0,First Round,
