team,seed,wins,finish_label,notes
Kansas,1,4,Final Four,
VILL,1,1,Round of 32,
Villanova,1,5,Runner-up,
Virginia,1,0,First Round,
Xavier,1,1,Round of 32,
Cincinnati,2,1,Round of 32,
Duke,2,3,Elite Eight,
North Carolina,2,1,Round of 32,
Purdue,2,2,Sweet 16,
MICH,3,0,First Round,
Michigan,3,5,Runner-up,
Michigan St,3,1,Round of 32,
Tennessee,3,1,Round of 32,
Texas Tech,3,3,Elite Eight,
Arizona,4,0,First Round,
Auburn,4,1,Round of 32,
Gonzaga,4,2,Sweet 16,
Wichita St,4,0,First Round,
Clemson,5,2,Sweet 16,
Kentucky,5,2,Sweet 16,
Ohio State,5,1,Round of 32,
West Virginia,5,2,Sweet 16,
Florida,6,1,Round of 32,
Houston,6,1,Round of 32,
Miami,6,0,First Round,
TCU,6,0,First Round,
Arkansas,7,0,First Round,
Nevada,7,2,Sweet 16,
Rhode Island,7,1,Round of 32,
Texas A&M,7,2,Sweet 16,
Creighton,8,0,First Round,
Missouri,8,0,First Round,
Seton Hall,8,1,Round of 32,
Virginia Tech,8,0,First Round,
Alabama,9,1,Round of 32,
Florida St,9,3,Elite Eight,
Kansas St,9,3,Elite Eight,
NC State,9,0,First Round,
Butler,10,1,Round of 32,
Oklahoma,10,0,First Round,
Providence,10,0,First Round,
Texas,10,0,First Round,
Arizona St,11,0,First Round,
Loyola Chicago,11,4,Final Four,
San Diego St,11,0,First Round,
St Bonaventure,11,0,First Round,
Syracuse,11,2,Sweet 16,
UCLA,11,0,First Round,
Davidson,12,0,First Round,
Murray St,12,0,First Round,
New Mexico St,12,0,First Round,
S Dakota St,12,0,First Round,
Buffalo,13,1,Round of 32,
Charleston,13,0,First Round,
Marshall,13,1,Round of 32,
UNC Greensboro,13,0,First Round,
Bucknell,14,0,First Round,
Montana,14,0,First Round,
SF Austin,14,0,First Round,
Wright St,14,0,First Round,
Fullerton,15,0,First Round,
Georgia St,15,0,First Round,
Iona,15,0,First Round,
Lipscomb,15,0,First Round,
NC Central,16,0,First Round,
Penn,16,0,First Round,
Radford,16,0,First Round,
Texas Southern,16,0,First Round,
UMBC,16,1,Round of 32,
