team,seed,wins,finish_label,notes
CONN,1,1,Round of 32,
Houston,1,2,Sweet 16,
North Carolina,1,2,Sweet 16,
PUR,1,0,First Round,
Purdue,1,5,Runner-up,
UConn,1,5,Runner-up,
Arizona,2,2,Sweet 16,
Iowa State,2,2,Sweet 16,
Marquette,2,2,Sweet 16,
Tennessee,2,3,Elite Eight,
Baylor,3,1,Round of 32,
Creighton,3,2,Sweet 16,
Illinois,3,3,Elite Eight,
Kentucky,3,0,First Round,
Alabama,4,4,Final Four,
Auburn,4,0,First Round,
Duke,4,3,Elite Eight,
Kansas,4,1,Round of 32,
Gonzaga,5,2,Sweet 16,
Saint Mary's,5,0,First Round,
San Diego St,5,2,Sweet 16,
Wisconsin,5,0,First Round,
BYU,6,0,First Round,
Clemson,6,3,Elite Eight,
South Carolina,6,0,First Round,
Texas Tech,6,0,First Round,
Dayton,7,1,Round of 32,
Florida,7,0,First Round,
Texas,7,1,Round of 32,
Washington St,7,1,Round of 32,
FAU,8,0,First Round,
Mississippi St,8,0,First Round,
Nebraska,8,0,First Round,
Utah State,8,1,Round of 32,
Michigan St,9,1,Round of 32,
Northwestern,9,1,Round of 32,
TCU,9,0,First Round,
Texas A&M,9,1,Round of 32,
Boise St,10,0,First Round,
Colorado,10,1,Round of 32,
Colorado St,10,0,First Round,
Drake,10,0,First Round,
Nevada,10,0,First Round,
Virginia,10,0,First Round,
Duquesne,11,1,Round of 32,
NC State,11,4,Final Four,
New Mexico,11,0,First Round,
Oregon,11,1,Round of 32,
Grand Canyon,12,1,Round of 32,
James Madison,12,1,Round of 32,
McNeese,12,0,First Round,
UAB,12,0,First Round,
Charleston,13,0,First Round,
Samford,13,0,First Round,
Vermont,13,0,First Round,
Yale,13,1,Round of 32,
Akron,14,0,First Round,
Colgate,14,0,First Round,
Morehead St,14,0,First Round,
Oakland,14,1,Round of 32,
Long Beach St,15,0,First Round,
S Dakota St,15,0,First Round,
Saint Peter's,15,0,First Round,
Western KY,15,0,First Round,
Grambling,16,0,First Round,
Howard,16,0,First Round,
Longwood,16,0,First Round,
Montana St,16,0,First Round,
Stetson,16,0,First Round,
Wagner,16,0,First Round,
