team,seed,wins,finish_label,notes
Alabama,1,2,Sweet 16,
Houston,1,2,Sweet 16,
Kansas,1,1,Round of 32,
Purdue,1,0,First Round,
Arizona,2,0,First Round,
Marquette,2,1,Round of 32,
Texas,2,3,Elite Eight,
UCLA,2,2,Sweet 16,
Baylor,3,1,Round of 32,
Gonzaga,3,3,Elite Eight,
Kansas St,3,3,Elite Eight,
Xavier,3,2,Sweet 16,
CONN,4,1,Round of 32,
Indiana,4,1,Round of 32,
Tennessee,4,2,Sweet 16,
UConn,4,5,Runner-up,
Virginia,4,0,First Round,
Duke,5,1,Round of 32,
Miami,5,4,Final Four,
SDSU,5,0,First Round,
Saint Mary's,5,1,Round of 32,
San Diego St,5,5,Runner-up,
Creighton,6,3,Elite Eight,
Iowa State,6,0,First Round,
Kentucky,6,1,Round of 32,
TCU,6,1,Round of 32,
Michigan St,7,2,Sweet 16,
Missouri,7,1,Round of 32,
Northwestern,7,1,Round of 32,
Texas A&M,7,0,First Round,
Arkansas,8,2,Sweet 16,
Iowa,8,0,First Round,
Maryland,8,1,Round of 32,
Memphis,8,0,First Round,
Auburn,9,1,Round of 32,
FAU,9,4,Final Four,
Illinois,9,0,First Round,
West Virginia,9,0,First Round,
Boise St,10,0,First Round,
Penn State,10,1,Round of 32,
USC,10,0,First Round,
Utah State,10,0,First Round,
Arizona St,11,0,First Round,
Mississippi St,11,0,First Round,
NC State,11,0,First Round,
Nevada,11,0,First Round,
Pitt,11,1,Round of 32,
Providence,11,0,First Round,
Charleston,12,0,First Round,
Drake,12,0,First Round,
Oral Roberts,12,0,First Round,
VCU,12,0,First Round,
Furman,13,1,Round of 32,
Iona,13,0,First Round,
Kent State,13,0,First Round,
Louisiana,13,0,First Round,
Grand Canyon,14,0,First Round,
Kennesaw St,14,0,First Round,
Montana St,14,0,First Round,
Santa Barbara,14,0,First Round,
Colgate,15,0,First Round,
Princeton,15,2,Sweet 16,
UNC Asheville,15,0,First Round,
Vermont,15,0,First Round,
FDU,16,1,Round of 32,
Howard,16,0,First Round,
N Kentucky,16,0,First Round,
SE Missouri,16,0,First Round,
Texas A&M-CC,16,0,First Round,
Texas Southern,16,0,First Round,
