team,seed,wins,finish_label,notes
Gonzaga,1,1,Round of 32,
Indiana,1,2,Sweet 16,
Kansas,1,2,Sweet 16,
LOU,1,1,Round of 32,
Louisville,1,5,Runner-up,
Duke,2,3,Elite Eight,
Georgetown,2,0,First Round,
Miami,2,2,Sweet 16,
Ohio State,2,3,Elite Eight,
Florida,3,3,Elite Eight,
Marquette,3,3,Elite Eight,
Michigan St,3,2,Sweet 16,
New Mexico,3,0,First Round,
Kansas St,4,0,First Round,
MICH,4,0,First Round,
Michigan,4,5,Runner-up,
Saint Louis,4,1,Round of 32,
Syracuse,4,4,Final Four,
Oklahoma St,5,0,First Round,
UNLV,5,0,First Round,
VCU,5,1,Round of 32,
Wisconsin,5,0,First Round,
Arizona,6,2,Sweet 16,
Butler,6,1,Round of 32,
Memphis,6,1,Round of 32,
UCLA,6,0,First Round,
Creighton,7,1,Round of 32,
Illinois,7,1,Round of 32,
Notre Dame,7,0,First Round,
San Diego St,7,1,Round of 32,
Colorado St,8,1,Round of 32,
NC State,8,0,First Round,
North Carolina,8,1,Round of 32,
Pitt,8,0,First Round,
Missouri,9,0,First Round,
Temple,9,1,Round of 32,
Villanova,9,0,First Round,
Wichita St,9,4,Final Four,
Cincinnati,10,0,First Round,
Colorado,10,0,First Round,
Iowa State,10,1,Round of 32,
Oklahoma,10,0,First Round,
Belmont,11,0,First Round,
Bucknell,11,0,First Round,
MTSU,11,0,First Round,
Minnesota,11,1,Round of 32,
Saint Mary's,11,0,First Round,
Akron,12,0,First Round,
California,12,1,Round of 32,
Ole Miss,12,1,Round of 32,
Oregon,12,2,Sweet 16,
Boise St,13,0,First Round,
La Salle,13,2,Sweet 16,
Montana,13,0,First Round,
New Mexico St,13,0,First Round,
S Dakota St,13,0,First Round,
Davidson,14,0,First Round,
Harvard,14,1,Round of 32,
N'Western St,14,0,First Round,
Valparaiso,14,0,First Round,
FGCU,15,2,Sweet 16,
Iona,15,0,First Round,
Pacific,15,0,First Round,
UAlbany,15,0,First Round,
James Madison,16,0,First Round,
Liberty,16,0,First Round,
Long Island,16,0,First Round,
NC A&T,16,0,First Round,
Southern,16,0,First Round,
Western KY,16,0,First Round,
