source,raw_team,normalized_team,canonical_team,match_method
results,Duke,duke,Duke,historical_exact
results,Kentucky,kentucky,Kentucky,historical_exact
results,Villanova,villanova,Villanova,historical_exact
results,Wisconsin,wisconsin,Wisconsin,historical_exact
results,Arizona,arizona,Arizona,historical_exact
results,Gonzaga,gonzaga,Gonzaga,historical_exact
results,Kansas,kansas,Kansas,historical_exact
results,Virginia,virginia,Virginia,historical_exact
results,Baylor,baylor,Baylor,historical_exact
results,Iowa State,iowa state,Iowa St,global_alias
results,Notre Dame,notre dame,Notre Dame,historical_exact
results,Oklahoma,oklahoma,Oklahoma,historical_exact
results,Georgetown,georgetown,Georgetown,historical_exact
results,Louisville,louisville,Louisville,historical_exact
results,Maryland,maryland,Maryland,historical_exact
results,North Carolina,north carolina,N Carolina,global_alias
results,Arkansas,arkansas,Arkansas,historical_exact
results,Northern Iowa,northern iowa,Northern Iowa,historical_exact
results,Utah,utah,Utah,historical_exact
results,West Virginia,west virginia,West Virginia,historical_exact
results,Butler,butler,Butler,historical_exact
results,Providence,providence,Providence,historical_exact
results,SMU,smu,SMU,historical_exact
results,Xavier,xavier,Xavier,historical_exact
results,Iowa,iowa,Iowa,historical_exact
results,Michigan St,michigan st,Michigan St,global_alias
results,VCU,vcu,VCU,historical_exact
results,Wichita St,wichita st,Wichita St,historical_exact
results,Cincinnati,cincinnati,Cincinnati,historical_exact
results,NC State,nc state,NC State,historical_exact
results,Oregon,oregon,Oregon,historical_exact
results,San Diego St,san diego st,San Diego St,global_alias
results,LSU,lsu,LSU,historical_exact
results,Oklahoma St,oklahoma st,Oklahoma St,historical_exact
results,Purdue,purdue,Purdue,historical_exact
results,St John's,st john s,St Johns,global_alias
results,Davidson,davidson,Davidson,historical_exact
results,Georgia,georgia,Georgia,historical_exact
results,Indiana,indiana,Indiana,historical_exact
results,Ohio State,ohio state,Ohio St,global_alias
results,BYU,byu,BYU,historical_exact
results,Boise St,boise st,Boise St,global_alias
results,Dayton,dayton,Dayton,historical_exact
results,Ole Miss,ole miss,Mississippi,global_alias
results,Texas,texas,Texas,historical_exact
results,UCLA,ucla,UCLA,historical_exact
results,Buffalo,buffalo,Buffalo,historical_exact
results,SF Austin,sf austin,SF Austin,historical_exact
results,Wofford,wofford,Wofford,historical_exact
results,Wyoming,wyoming,Wyoming,historical_exact
results,E Washington,e washington,Eastern Washington,global_alias
results,Harvard,harvard,Harvard,historical_exact
results,UC Irvine,uc irvine,UC Irvine,historical_exact
results,Valparaiso,valparaiso,Valparaiso,historical_exact
results,Georgia St,georgia st,Georgia St,historical_exact
results,Northeastern,northeastern,Northeastern,historical_exact
results,UAB,uab,UAB,historical_exact
results,UAlbany,ualbany,Albany,global_alias
results,Belmont,belmont,Belmont,historical_exact
results,N Dakota St,n dakota st,N Dakota St,historical_exact
