source,raw_team,normalized_team,canonical_team,match_method
field,Duke,duke,Duke,historical_exact
field,UConn,uconn,Connecticut,global_alias
field,Michigan St,michigan st,Michigan St,global_alias
field,Kansas,kansas,Kansas,historical_exact
field,St John's,st john s,St Johns,global_alias
field,Louisville,louisville,Louisville,historical_exact
field,UCLA,ucla,UCLA,historical_exact
field,Ohio State,ohio state,Ohio St,global_alias
field,TCU,tcu,TCU,historical_exact
field,UCF,ucf,UCF,cleaned
field,South Florida,south florida,South Florida,historical_exact
field,Northern Iowa,northern iowa,Northern Iowa,historical_exact
field,CA Baptist,ca baptist,Cal Baptist,global_alias
field,N Dakota St,n dakota st,N Dakota St,historical_exact
field,Furman,furman,Furman,historical_exact
field,Siena,siena,Siena,cleaned
field,Michigan,michigan,Michigan,historical_exact
field,Iowa State,iowa state,Iowa St,global_alias
field,Virginia,virginia,Virginia,historical_exact
field,Alabama,alabama,Alabama,historical_exact
field,Texas Tech,texas tech,Texas Tech,historical_exact
field,Tennessee,tennessee,Tennessee,historical_exact
field,Kentucky,kentucky,Kentucky,historical_exact
field,Georgia,georgia,Georgia,historical_exact
field,Saint Louis,st louis,St Louis,historical_exact
field,Santa Clara,santa clara,Santa Clara,cleaned
field,Miami OH,miami oh,Miami OH,cleaned
field,SMU,smu,SMU,historical_exact
field,Akron,akron,Akron,historical_exact
field,Hofstra,hofstra,Hofstra,cleaned
field,Wright St,wright st,Wright St,historical_exact
field,Tennessee St,tennessee st,Tennessee St,global_alias
field,Howard,howard,Howard,historical_exact
field,UMBC,umbc,UMBC,historical_exact
field,Florida,florida,Florida,historical_exact
field,Houston,houston,Houston,historical_exact
field,Illinois,illinois,Illinois,historical_exact
field,Nebraska,nebraska,Nebraska,historical_exact
field,Vanderbilt,vanderbilt,Vanderbilt,historical_exact
field,North Carolina,north carolina,N Carolina,global_alias
field,Saint Mary's,st mary s,St Marys,global_alias
field,Clemson,clemson,Clemson,historical_exact
field,Iowa,iowa,Iowa,historical_exact
field,Texas A&M,texas a and m,Texas A&M,historical_exact
field,VCU,vcu,VCU,historical_exact
field,McNeese,mcneese,McNeese,historical_exact
field,Troy,troy,Troy,historical_exact
field,Penn,penn,Pennsylvania,global_alias
field,Idaho,idaho,Idaho,cleaned
field,Lehigh,lehigh,Lehigh,historical_exact
field,Prairie View,prairie view,Prairie View,cleaned
field,Arizona,arizona,Arizona,historical_exact
field,Purdue,purdue,Purdue,historical_exact
field,Gonzaga,gonzaga,Gonzaga,historical_exact
field,Arkansas,arkansas,Arkansas,historical_exact
field,Wisconsin,wisconsin,Wisconsin,historical_exact
field,BYU,byu,BYU,historical_exact
field,Miami,miami,Miami FL,global_alias
field,Villanova,villanova,Villanova,historical_exact
field,Utah State,utah state,Utah St,global_alias
field,Missouri,missouri,Missouri,historical_exact
field,NC State,nc state,NC State,historical_exact
field,Texas,texas,Texas,historical_exact
field,High Point,high point,High Point,historical_exact
field,Hawai'i,hawai i,Hawaii,global_alias
field,Kennesaw St,kennesaw st,Kennesaw St.,historical_exact
field,Queens,queens,Queens,cleaned
field,Long Island,long island,Long Island Brooklyn,global_alias
kenpom,Duke,duke,Duke,historical_exact
kenpom,Arizona,arizona,Arizona,historical_exact
kenpom,Michigan,michigan,Michigan,historical_exact
kenpom,Florida,florida,Florida,historical_exact
kenpom,Houston,houston,Houston,historical_exact
kenpom,Iowa St.,iowa st,Iowa St,global_alias
kenpom,Illinois,illinois,Illinois,historical_exact
kenpom,Purdue,purdue,Purdue,historical_exact
kenpom,Michigan St.,michigan st,Michigan St,global_alias
kenpom,Gonzaga,gonzaga,Gonzaga,historical_exact
kenpom,Connecticut,connecticut,Connecticut,historical_exact
kenpom,Vanderbilt,vanderbilt,Vanderbilt,historical_exact
kenpom,Virginia,virginia,Virginia,historical_exact
kenpom,Nebraska,nebraska,Nebraska,historical_exact
kenpom,Arkansas,arkansas,Arkansas,historical_exact
kenpom,Tennessee,tennessee,Tennessee,historical_exact
kenpom,St. John's,st john s,St Johns,global_alias
kenpom,Alabama,alabama,Alabama,historical_exact
kenpom,Louisville,louisville,Louisville,historical_exact
kenpom,Texas Tech,texas tech,Texas Tech,historical_exact
kenpom,Kansas,kansas,Kansas,historical_exact
kenpom,Wisconsin,wisconsin,Wisconsin,historical_exact
kenpom,BYU,byu,BYU,historical_exact
kenpom,Saint Mary's,st mary s,St Marys,global_alias
kenpom,Iowa,iowa,Iowa,historical_exact
kenpom,Ohio St.,ohio st,Ohio St,historical_exact
kenpom,UCLA,ucla,UCLA,historical_exact
kenpom,Kentucky,kentucky,Kentucky,historical_exact
kenpom,North Carolina,north carolina,N Carolina,global_alias
kenpom,Utah St.,utah st,Utah St,global_alias
kenpom,Miami FL,miami fl,Miami FL,global_alias
kenpom,Georgia,georgia,Georgia,historical_exact
kenpom,Villanova,villanova,Villanova,historical_exact
kenpom,N.C. State,n c state,NC State,global_alias
kenpom,Santa Clara,santa clara,Santa Clara,cleaned
kenpom,Clemson,clemson,Clemson,historical_exact
kenpom,Texas,texas,Texas,historical_exact
kenpom,Auburn,auburn,Auburn,historical_exact
kenpom,Texas A&M,texas a and m,Texas A&M,historical_exact
kenpom,Oklahoma,oklahoma,Oklahoma,historical_exact
kenpom,nan,nan,nan,cleaned
kenpom,Team,team,Team,cleaned
kenpom,Saint Louis,st louis,St Louis,historical_exact
kenpom,SMU,smu,SMU,historical_exact
kenpom,TCU,tcu,TCU,historical_exact
kenpom,Cincinnati,cincinnati,Cincinnati,historical_exact
kenpom,VCU,vcu,VCU,historical_exact
kenpom,Indiana,indiana,Indiana,historical_exact
kenpom,South Florida,south florida,South Florida,historical_exact
kenpom,San Diego St.,san diego st,San Diego St,global_alias
kenpom,Baylor,baylor,Baylor,historical_exact
kenpom,New Mexico,new mexico,New Mexico,historical_exact
kenpom,Seton Hall,seton hall,Seton Hall,historical_exact
kenpom,Missouri,missouri,Missouri,historical_exact
kenpom,Washington,washington,Washington,historical_exact
kenpom,UCF,ucf,UCF,cleaned
kenpom,Virginia Tech,virginia tech,Virginia Tech,historical_exact
kenpom,Florida St.,florida st,Florida St,historical_exact
kenpom,Northwestern,northwestern,Northwestern,historical_exact
kenpom,Stanford,stanford,Stanford,historical_exact
kenpom,West Virginia,west virginia,West Virginia,historical_exact
kenpom,LSU,lsu,LSU,historical_exact
kenpom,Grand Canyon,grand canyon,Grd Canyon,global_alias
kenpom,Boise St.,boise st,Boise St,global_alias
kenpom,Tulsa,tulsa,Tulsa,historical_exact
kenpom,Akron,akron,Akron,historical_exact
kenpom,Mississippi,mississippi,Mississippi,source_alias
kenpom,Oklahoma St.,oklahoma st,Oklahoma St,historical_exact
kenpom,Arizona St.,arizona st,Arizona St.,cleaned
kenpom,McNeese,mcneese,McNeese,historical_exact
kenpom,Belmont,belmont,Belmont,historical_exact
kenpom,Colorado,colorado,Colorado,historical_exact
kenpom,Providence,providence,Providence,historical_exact
kenpom,Northern Iowa,northern iowa,Northern Iowa,historical_exact
kenpom,California,california,California,historical_exact
kenpom,Wake Forest,wake forest,Wake Forest,cleaned
kenpom,Nevada,nevada,Nevada,historical_exact
kenpom,Creighton,creighton,Creighton,historical_exact
kenpom,Minnesota,minnesota,Minnesota,historical_exact
kenpom,Dayton,dayton,Dayton,historical_exact
kenpom,Georgetown,georgetown,Georgetown,historical_exact
kenpom,USC,usc,USC,historical_exact
kenpom,Yale,yale,Yale,historical_exact
kenpom,Wichita St.,wichita st,Wichita St,historical_exact
kenpom,Syracuse,syracuse,Syracuse,historical_exact
kenpom,Marquette,marquette,Marquette,historical_exact
kenpom,George Washington,george washington,George Washington,historical_exact
kenpom,Butler,butler,Butler,historical_exact
kenpom,Hofstra,hofstra,Hofstra,cleaned
kenpom,Colorado St.,colorado st,Colorado St,historical_exact
kenpom,Notre Dame,notre dame,Notre Dame,historical_exact
kenpom,Utah Valley,utah valley,Utah Valley,cleaned
kenpom,Stephen F. Austin,stephen f austin,SF Austin,global_alias
kenpom,High Point,high point,High Point,historical_exact
kenpom,Miami OH,miami oh,Miami OH,cleaned
kenpom,Pittsburgh,pittsburgh,Pittsburgh,historical_exact
kenpom,South Carolina,south carolina,S Carolina,global_alias
kenpom,George Mason,george mason,George Mason,historical_exact
kenpom,Xavier,xavier,Xavier,historical_exact
kenpom,Wyoming,wyoming,Wyoming,historical_exact
kenpom,Oregon,oregon,Oregon,historical_exact
kenpom,Mississippi St.,mississippi st,Mississippi St,global_alias
kenpom,Kansas St.,kansas st,Kansas St.,cleaned
kenpom,DePaul,depaul,DePaul,cleaned
kenpom,Illinois St.,illinois st,Illinois St.,cleaned
kenpom,UC Irvine,uc irvine,UC Irvine,historical_exact
kenpom,Illinois Chicago,illinois chicago,Illinois Chicago,cleaned
kenpom,Cal Baptist,cal baptist,Cal Baptist,cleaned
kenpom,UNLV,unlv,UNLV,historical_exact
kenpom,Hawaii,hawaii,Hawaii,historical_exact
kenpom,St. Thomas,st thomas,St. Thomas,cleaned
kenpom,UNC Wilmington,unc wilmington,UNC Wilmington,historical_exact
kenpom,Sam Houston St.,sam houston st,Sam Houston St.,cleaned
kenpom,Pacific,pacific,Pacific,historical_exact
kenpom,North Dakota St.,north dakota st,N Dakota St,global_alias
kenpom,Davidson,davidson,Davidson,historical_exact
kenpom,UT Rio Grande Valley,ut rio grande valley,UT Rio Grande Valley,cleaned
kenpom,Saint Joseph's,st joseph s,St Josephs,global_alias
kenpom,Southern Illinois,southern illinois,Southern Illinois,cleaned
kenpom,UC San Diego,uc san diego,UC San Diego,historical_exact
