team,seed,wins,finish_label,notes
Arizona,1,3,Elite Eight,
Florida,1,4,Final Four,
Virginia,1,2,Sweet 16,
Wichita St,1,1,Round of 32,
Kansas,2,1,Round of 32,
Michigan,2,3,Elite Eight,
Villanova,2,1,Round of 32,
Wisconsin,2,4,Final Four,
Creighton,3,1,Round of 32,
Duke,3,0,First Round,
Iowa State,3,2,Sweet 16,
Syracuse,3,1,Round of 32,
Louisville,4,2,Sweet 16,
Michigan St,4,3,Elite Eight,
San Diego St,4,2,Sweet 16,
UCLA,4,2,Sweet 16,
Cincinnati,5,0,First Round,
Oklahoma,5,0,First Round,
Saint Louis,5,1,Round of 32,
VCU,5,0,First Round,
Baylor,6,2,Sweet 16,
North Carolina,6,1,Round of 32,
Ohio State,6,0,First Round,
UMass,6,0,First Round,
CONN,7,1,Round of 32,
New Mexico,7,0,First Round,
Oregon,7,1,Round of 32,
Texas,7,1,Round of 32,
UConn,7,5,Runner-up,
Colorado,8,0,First Round,
Gonzaga,8,1,Round of 32,
Kentucky,8,5,Runner-up,
Memphis,8,1,Round of 32,
UK,8,0,First Round,
G Washington,9,0,First Round,
Kansas St,9,0,First Round,
Oklahoma St,9,0,First Round,
Pitt,9,1,Round of 32,
Arizona St,10,0,First Round,
BYU,10,0,First Round,
Saint Joseph's,10,0,First Round,
Stanford,10,2,Sweet 16,
Dayton,11,3,Elite Eight,
Iowa,11,0,First Round,
Nebraska,11,0,First Round,
Providence,11,0,First Round,
Tennessee,11,2,Sweet 16,
Harvard,12,1,Round of 32,
N Dakota St,12,1,Round of 32,
NC State,12,0,First Round,
SF Austin,12,1,Round of 32,
Xavier,12,0,First Round,
Delaware,13,0,First Round,
Manhattan,13,0,First Round,
New Mexico St,13,0,First Round,
Tulsa,13,0,First Round,
Louisiana,14,0,First Round,
Mercer,14,1,Round of 32,
NC Central,14,0,First Round,
W Michigan,14,0,First Round,
American,15,0,First Round,
E Kentucky,15,0,First Round,
Milwaukee,15,0,First Round,
Wofford,15,0,First Round,
Cal Poly,16,0,First Round,
Coastal,16,0,First Round,
Mount St Marys,16,0,First Round,
Texas Southern,16,0,First Round,
UAlbany,16,0,First Round,
Weber St,16,0,First Round,
